,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Djibouti,11.5,42.5,77.0,69,1,8.05,DJ,1611504643
359,Hambantota,6.1241,81.1185,78.8,89,40,8.05,LK,1611504369
360,Kandrian,-6.2167,149.55,77.86,78,100,9.93,PG,1611504643
361,Mexico,15.0646,120.7198,78.8,78,75,2.3,PH,1611504643
362,Casino,-28.8667,153.05,66.2,94,0,1.74,AU,1611504644
363,Andenes,69.3143,16.1194,19.99,86,20,11.5,NO,1611504644
364,Cidreira,-30.1811,-50.2056,80.4,68,7,9.08,BR,1611504644
365,Kaeo,-35.1,173.7833,68.0,88,46,7.0,NZ,1611504644
366,Suzhou,31.3114,120.6181,48.0,94,38,8.14,CN,1611504393
367,Rosita,13.9268,-84.4032,77.04,91,80,4.68,NI,1611504644
368,Linqiong,30.4159,103.4609,51.01,100,40,6.71,CN,1611504552
369,Nador,35.174,-2.9287,69.8,68,0,10.36,MA,1611504644
370,Mombetsu,44.3525,143.3525,23.13,92,0,5.93,JP,1611504644
371,Manta,-0.95,-80.7333,82.4,74,90,5.75,EC,1611504645
372,Maţāy,28.419,30.7792,58.68,43,0,9.24,EG,1611504705
373,Verkhnedneprovskiy,54.9813,33.3457,37.18,99,100,10.83,RU,1611504705
374,Mūndwa,27.0667,73.8167,56.07,35,0,6.42,IN,1611504705
375,Nizhneangarsk,55.7833,109.55,-3.48,80,99,7.31,RU,1611504705
376,Moussoro,13.6408,16.4901,88.65,11,74,9.82,TD,1611504661
377,Dhārchula,29.85,80.5333,47.28,49,7,5.44,IN,1611504705
378,Narsaq,60.9167,-46.05,30.2,29,0,28.77,GL,1611504706
379,Berlevåg,70.8578,29.0864,19.4,79,75,12.66,NO,1611504706
380,Wukari,7.85,9.7833,97.63,10,38,7.96,NG,1611504706
381,Pontal do Paraná,-25.6533,-48.5128,73.4,83,90,2.3,BR,1611504706
382,Itacarambi,-15.1022,-44.0919,89.58,38,0,5.88,BR,1611504706
383,Laas,46.6166,10.7002,39.2,65,0,2.3,IT,1611504706
384,Sansepolcro,43.5747,12.143,44.01,76,100,6.17,IT,1611504706
385,Florø,61.5996,5.0328,37.4,65,75,10.36,NO,1611504707
386,Natal,-5.795,-35.2094,87.8,66,75,17.27,BR,1611504707
387,Estación Coahuila,32.1939,-115.0017,51.01,71,20,3.44,MX,1611504707
388,Saint-Louis,16.3333,-15.0,93.2,13,0,4.61,SN,1611504707
389,Zwedru,6.0667,-8.1281,94.89,21,0,2.98,LR,1611504707
390,Ocher,57.8904,54.7202,17.62,97,100,4.07,RU,1611504707
391,Cairns,-16.9167,145.7667,73.4,88,86,9.22,AU,1611504706
392,Two Rivers,44.1539,-87.5693,30.2,93,90,9.22,US,1611504707
393,Sovetskaya Gavan',48.9723,140.2878,3.83,91,100,9.44,RU,1611504708
394,Pacific Grove,36.6177,-121.9166,51.01,81,90,4.61,US,1611504500
395,Machinga,-15.1685,35.3,69.31,93,100,1.7,MW,1611504708
396,Amga,60.8953,131.9608,-51.36,75,97,1.99,RU,1611504708
397,San Quintín,30.4833,-115.95,53.65,72,88,10.25,MX,1611504708
398,Pedernales,18.0384,-71.744,82.08,54,5,4.97,DO,1611504708
399,Namanyere,-7.5167,31.05,66.16,93,99,1.72,TZ,1611504612
400,Petropavlovsk-Kamchatskiy,53.0452,158.6483,3.2,72,52,6.71,RU,1611504708
401,Qasigiannguit,68.8193,-51.1922,19.4,42,37,4.61,GL,1611504708
402,Maceió,-9.6658,-35.7353,84.2,61,75,13.8,BR,1611504443
403,Suksun,57.1431,57.3949,17.8,97,100,5.66,RU,1611504709
404,Maraã,-1.8333,-65.3667,81.3,88,87,2.86,BR,1611504709
405,Prado,-17.3411,-39.2208,83.12,62,52,8.14,BR,1611504709
406,Fare,-16.7,-151.0167,81.14,71,18,12.17,PF,1611504709
407,Chilpancingo,17.55,-99.5,73.92,59,100,1.68,MX,1611504462
408,Ca Mau,9.1769,105.15,74.98,81,11,6.15,VN,1611504709
409,Cherëmukhovo,60.3484,59.9851,-17.16,88,100,1.81,RU,1611504710
410,Dorado,18.4588,-66.2677,82.99,65,40,11.5,PR,1611504710
411,Fairlie,55.756,-4.8556,35.01,87,20,1.99,GB,1611504710
412,Bobrovka,54.047,61.7455,11.32,96,100,11.03,RU,1611504710
413,Darnah,32.767,22.6367,60.8,42,0,11.97,LY,1611504710
414,Tananger,58.9333,5.6,35.01,75,20,4.61,NO,1611504711
415,Chapais,49.7834,-74.8492,3.2,72,90,13.8,CA,1611504771
416,Toktogul,41.8708,72.9402,15.62,76,1,1.52,KG,1611504771
417,Launceston,-41.45,147.1667,62.01,71,37,1.14,AU,1611504771
418,Hofn,64.2539,-15.2082,32.0,51,75,25.32,IS,1611504771
419,Puerto Ayacucho,5.6639,-67.6236,88.86,59,57,1.39,VE,1611504771
420,Kinna,57.5073,12.6946,35.01,93,75,5.75,SE,1611504771
421,Thatta,24.7475,67.9235,62.94,19,0,10.87,PK,1611504772
422,Pangnirtung,66.1451,-65.7125,15.39,78,70,3.18,CA,1611504772
423,Pavlivka,49.4414,28.4596,41.0,100,90,6.71,UA,1611504772
424,Landeck,47.1301,10.5636,26.01,80,43,1.01,AT,1611504772
425,Ust-Nera,64.5667,143.2,-23.3,77,99,1.74,RU,1611504772
426,Lago da Pedra,-4.3333,-45.1667,84.94,74,92,4.16,BR,1611504772
427,Guerrero Negro,27.9769,-114.0611,58.78,57,6,12.71,MX,1611504748
428,Beatrice,40.2681,-96.747,30.2,80,90,12.66,US,1611504772
429,Yenagoa,4.9247,6.2642,92.37,37,98,6.76,NG,1611504773
430,Le Vauclin,14.5452,-60.8388,84.2,58,75,13.8,MQ,1611504773
431,Rosetta,31.4044,30.4164,62.6,59,20,6.91,EG,1611504773
432,Pyaozerskiy,65.8333,31.1667,23.23,98,100,1.81,RU,1611504773
433,Sheridan,44.8333,-106.9173,21.99,92,90,4.61,US,1611504773
434,Inhambane,-23.865,35.3833,84.2,79,40,16.11,MZ,1611504773
435,Kafanchan,9.5833,8.3,92.75,12,88,1.95,NG,1611504773
436,Novikovo,51.1537,37.8879,36.12,84,100,11.43,RU,1611504774
437,Chara,56.9064,118.2631,-23.6,74,5,0.85,RU,1611504774
438,Kirakira,-10.4544,161.9205,79.59,76,100,6.26,SB,1611504774
439,Taltal,-25.4,-70.4833,72.59,55,7,7.07,CL,1611504774
440,Loudi,27.7344,111.9944,49.89,81,100,4.5,CN,1611504774
441,Nueva Gerona,21.8833,-82.8,74.61,79,83,12.03,CU,1611504606
442,Brigantine,39.4101,-74.3646,33.01,37,1,17.27,US,1611504774
443,Acaraú,-2.8856,-40.12,87.6,56,93,15.93,BR,1611504774
444,Jumla,29.2747,82.1838,33.37,77,0,3.89,NP,1611504775
445,Sühbaatar,50.2314,106.2078,8.71,94,100,5.1,MN,1611504775
446,Lázaro Cárdenas,17.9583,-102.2,80.98,66,100,2.17,MX,1611504775
447,Onguday,50.75,86.15,3.42,85,100,2.48,RU,1611504775
448,Dunmore Town,25.5,-76.65,73.99,69,0,2.89,BS,1611504775
449,Domoni,-12.2569,44.5319,80.94,73,82,2.37,KM,1611504775
450,Sri Aman,1.2376,111.4621,78.8,94,100,0.78,MY,1611504775
451,Boundiali,9.5217,-6.4869,96.01,9,0,4.81,CI,1611504775
452,Puerto del Rosario,28.5004,-13.8627,68.0,73,20,11.5,ES,1611504776
453,Sotouboua,8.5667,0.9833,93.2,20,41,4.76,TG,1611504776
454,Mārkāpur,15.7333,79.2833,71.96,64,5,3.58,IN,1611504550
455,Port Macquarie,-31.4333,152.9167,64.99,97,4,12.3,AU,1611504776
456,Hirara,24.8,125.2833,64.63,65,100,8.19,JP,1611504776
457,Coahuayana Viejo,18.7333,-103.6833,73.4,56,40,1.03,MX,1611504776
458,Baykit,61.67,96.37,-29.36,79,98,2.62,RU,1611504776
459,La Paz,-16.5,-68.15,51.8,76,75,10.36,BO,1611504646
460,Dalnerechensk,45.9339,133.7225,1.15,92,9,2.71,RU,1611504777
461,Kidal,18.4411,1.4078,84.63,10,4,13.6,ML,1611504777
462,Esna,25.2934,32.554,71.6,28,0,6.91,EG,1611504777
463,Privolzhskiy,51.4,46.0333,33.01,95,96,5.01,RU,1611504848
464,Boende,-0.2167,20.8667,83.43,59,80,4.29,CD,1611504848
465,Qaqortoq,60.7167,-46.0333,30.2,29,0,28.77,GL,1611504848
466,Gilgit,35.9221,74.3087,17.44,49,0,3.13,PK,1611504848
467,Tura,25.5198,90.2201,59.67,58,0,3.51,IN,1611504848
468,Sinop Province,41.7711,34.8709,59.0,38,0,13.8,TR,1611504849
469,Albania,41.0,20.0,51.8,71,90,12.66,AL,1611504849
470,Bermeo,43.4209,-2.7215,55.99,67,75,3.44,ES,1611504849
471,Ladan,50.5196,32.5818,39.79,86,100,17.07,UA,1611504849
472,Vostok,46.4856,135.8833,2.73,94,41,3.15,RU,1611504849
473,Bud,39.447,-86.1758,28.99,90,100,8.5,US,1611504849
474,My Tho,10.35,106.35,77.0,83,40,6.91,VN,1611504849
475,Fort Nelson,58.8053,-122.7002,1.4,66,90,2.62,CA,1611504850
476,Prieska,-29.6641,22.7474,92.43,24,80,10.87,ZA,1611504850
477,Damaturu,11.747,11.9608,89.02,12,73,11.43,NG,1611504850
478,Itarema,-2.9248,-39.9167,87.8,56,98,15.9,BR,1611504850
479,Mossamedes,-15.1961,12.1522,79.16,65,68,11.77,AO,1611504850
480,Cootamundra,-34.65,148.0333,81.0,37,92,3.0,AU,1611504850
481,Karasjok,69.4719,25.5112,6.8,72,75,6.91,NO,1611504850
482,Gawler,-34.6,138.7333,82.99,42,99,1.01,AU,1611504850
483,Villazón,-22.0866,-65.5942,58.69,49,90,5.17,BO,1611504851
484,Bāneh,35.9975,45.8853,26.53,71,0,2.66,IR,1611504851
485,Lahaina,20.8783,-156.6825,70.0,82,1,4.61,US,1611504593
486,Mandalgovi,45.7625,106.2708,14.85,93,100,13.96,MN,1611504851
487,Nakhon Thai,17.1006,100.8374,72.72,53,44,1.97,TH,1611504851
488,Rāver,21.25,76.0333,71.17,32,0,4.85,IN,1611504851
489,Scarborough,54.2797,-0.4044,33.01,83,100,3.8,GB,1611504852
490,Ekibastuz,51.6667,75.3667,-27.54,84,0,3.36,KZ,1611504852
491,Kawambwa,-9.7915,29.0791,67.89,95,100,3.91,ZM,1611504852
492,Ascension,30.2169,-90.9001,64.4,94,90,5.75,US,1611504852
493,Machesney Park,42.3472,-89.039,28.4,86,90,6.91,US,1611504853
494,Port Hedland,-20.3167,118.5667,86.0,70,48,19.57,AU,1611504853
495,Pimenta Bueno,-11.6725,-61.1936,80.29,82,87,5.17,BR,1611504763
496,Khuzdar,27.7384,66.6434,49.64,35,0,1.66,PK,1611504853
497,Kyabram,-36.3167,145.05,84.0,24,70,7.07,AU,1611504853
498,Narrabri,-30.3167,149.7833,77.0,36,35,10.36,AU,1611504853
499,Caravelas,-17.7125,-39.2481,84.54,57,79,7.96,BR,1611504854
500,Luziânia,-16.2525,-47.9503,84.2,39,20,5.75,BR,1611504747
501,Soledade,-28.8183,-52.5103,78.49,72,4,3.98,BR,1611504782
502,New Ross,52.3967,-6.9367,35.01,86,40,10.36,IE,1611504854
503,Araçatuba,-21.2089,-50.4328,87.8,51,0,4.61,BR,1611504854
504,Kiunga,-6.1219,141.2906,74.5,97,100,2.89,PG,1611504855
505,Khotynets,53.1286,35.3966,35.33,98,100,13.09,RU,1611504855
506,Kuala Terengganu,5.3302,103.1408,77.0,88,40,2.3,MY,1611504855
507,Tondano,1.3038,124.9112,73.4,100,40,4.61,ID,1611504855
508,Vila Velha,-20.3297,-40.2925,82.4,65,40,3.44,BR,1611504855
509,Yanam,16.7333,82.2167,77.0,78,7,4.61,IN,1611505618
510,Vardø,70.3705,31.1107,23.0,93,75,19.57,NO,1611505618
511,Jijiga,9.35,42.8,66.6,54,92,14.41,ET,1611505618
512,Hobyo,5.3505,48.5268,76.48,71,1,22.64,SO,1611505618
513,Kamaishi,39.2667,141.8833,34.66,85,100,4.07,JP,1611505618
514,Halifax,44.6453,-63.5724,24.01,80,100,8.05,CA,1611505618
515,Isangel,-19.55,169.2667,78.62,87,100,6.22,VU,1611505618
516,Bakuriani,41.7497,43.5325,27.25,75,83,7.83,GE,1611505619
517,Kiama,-34.6833,150.8667,73.99,84,100,3.87,AU,1611505619
518,Kargat,55.1956,80.2811,-43.33,80,32,6.15,RU,1611505329
519,Mpika,-11.8343,31.4529,64.85,96,100,4.0,ZM,1611505619
520,Bilibino,68.0546,166.4372,-29.61,81,98,1.68,RU,1611505619
521,Kimbe,-5.5502,150.1429,75.6,82,100,2.95,PG,1611505619
522,Coquimbo,-29.9533,-71.3436,71.6,64,75,10.36,CL,1611505504
523,Imperial Beach,32.5839,-117.1131,48.2,87,90,4.61,US,1611505595
524,Bandarbeyla,9.4942,50.8122,73.87,71,25,19.51,SO,1611505620
525,Zistersdorf,48.5333,16.75,39.99,67,100,1.01,AT,1611505620
526,Caernarfon,53.1413,-4.2702,37.4,75,97,12.66,GB,1611505620
527,Hays,30.0502,-98.0336,63.0,98,100,1.01,US,1611505620
528,Deltona,28.9005,-81.2637,71.6,88,90,8.05,US,1611505614
529,Taseyevo,57.2169,94.8978,-0.71,92,100,4.79,RU,1611505620
530,Seoul,37.5683,126.9778,35.6,93,0,2.3,KR,1611505574
531,João Pinheiro,-17.7425,-46.1725,81.27,55,63,3.96,BR,1611505620
532,Chhātāpur,26.2167,87.0167,62.67,51,0,2.51,IN,1611505621
533,Lensk,60.7253,114.9278,-34.49,80,87,1.81,RU,1611505621
534,Tselinnoye,53.0833,85.6667,-26.61,85,95,6.58,RU,1611505621
535,La Crosse,43.8014,-91.2396,27.0,79,1,6.91,US,1611505621
536,Portland,45.5234,-122.6762,39.99,87,100,1.99,US,1611504799
537,Abu Kamal,34.4506,40.9171,50.36,42,0,5.46,SY,1611505621
538,Novo Aripuanã,-5.1206,-60.3797,82.92,85,55,2.71,BR,1611505621
539,San Carlos,9.6612,-68.5827,92.3,44,49,2.59,VE,1611505621
540,Xiongzhou,25.1167,114.3,59.88,64,99,0.65,CN,1611505622
